Sample No.,Day,Time,Branch ID,Use No,DensClass,Height (m),BirdID,Duration,Ovisacs,CrawlerCount,Misc,Cloth
164,6/10/2015,14:09,Z7,1,Zero,1.63,MYWA,30,0,0,,0
165,6/10/2015,14:11,Z8,1,Zero,1,COYE,5,0,0,,0
166,6/17/2015,14:46,L53,1,Low,2.48,NAWA,15,1,0,1 thrip-like insect,0
167,6/17/2015,14:48,M53,1,Med,1.09,YEWA,15,11,6,1 exuvia,0
168,6/17/2015,14:58,H53,1,High,3.26,MYWA,5,20,0,,0
169,6/17/2015,15:21,L27,2,Low,1.58,COYE,5,2,0,,0
170,6/17/2015,15:37,H35,2,High,2.75,NAWA,30,20,1,,0
171,6/17/2015,15:42,M54,1,Med,1.36,MYWA,30,14,1,,0
172,6/17/2015,15:54,H44,2,High,1.23,YEWA,1,27,0,,0
173,6/17/2015,16:03,L55,1,Low,1.48,COYE,1,2,0,,0
174,6/17/2015,16:31,M33,2,Med,1.86,NAWA,30,19,0,2 mites,0
175,6/17/2015,16:40,M29,2,Med,2.09,YEWA,5,15,1,1 exuvia,0
176,6/17/2015,16:55,H56,1,High,1.67,MYWA,15,20,0,,0
177,6/17/2015,17:09,L56,1,Low,2.66,COYE,1,2,0,,0
178,6/18/2015,9:16,L57,1,Low,1.93,NAWA,30,5,1,,0
179,6/18/2015,9:25,M41,2,Med,1.77,MYWA,30,13,4,1 partial ovisac,0
180,6/18/2015,9:54,L58,1,Low,1.9,YEWA,1,9,1,,0
181,6/18/2015,10:13,M40,2,Med,1.54,COYE,1,11,0,,0
182,6/18/2015,10:21,L59,1,Low,1.92,NAWA,15,7,1,,0
183,6/18/2015,10:49,M59,1,Med,1.57,MYWA,15,16,2,,0
184,6/18/2015,11:00,H34,2,High,3.28,COYE,5,21,1,,0
185,6/18/2015,11:18,M60,1,Med,2.09,YEWA,5,15,0,1 partial ovisac,0
186,6/18/2015,11:38,H58,1,High,1.25,NAWA,30,21,0,"1 exuvia, 1 thrip",0
187,6/18/2015,11:42,L60,1,Low,1.5,YEWA,5,2,1,,0
188,6/18/2015,11:57,H59,1,High,3.1,MYWA,15,23,2,,0
189,6/18/2015,12:02,H60,1,High,2.9,COYE,1,21,0,1 exuvia,0
190,6/19/2015,10:09,L61,1,Low,1.23,NAWA,15,5,1,1 adult,0
191,6/19/2015,10:21,M61,1,Med,1.67,MYWA,15,13,1,,0
192,6/19/2015,11:02,M62,1,Med,3.01,YEWA,5,12,1,,0
193,6/19/2015,11:22,H61,1,High,3.07,COYE,5,22,0,,0
194,6/19/2015,11:41,M63,1,Med,1.84,NAWA,30,12,1,"1 settled, 1  adult",0
195,6/19/2015,11:51,L62,1,Low,1.73,MYWA,30,3,0,2 settled,0
196,6/19/2015,12:15,H62,1,High,3.57,YEWA,1,40,0,"1 spider mite, 1 insect",0
197,6/19/2015,12:30,L63,1,Low,1.44,COYE,1,7,0,,0
198,6/19/2015,13:27,H63,1,High,2.98,NAWA,30,25,0,,0
199,6/19/2015,13:42,L32,2,Low,1.63,YEWA,5,1,0,,0
200,6/19/2015,14:24,H64,1,High,2.3,MYWA,15,25,0,,0
201,6/19/2015,14:58,M64,1,Med,2.82,COYE,1,12,0,,0
202,6/19/2015,17:12,Z9,1,Zero,1.24,NAWA,30,0,0,,0
203,6/19/2015,17:21,Z10,1,Zero,1.24,MYWA,5,0,0,,0
204,6/19/2015,17:22,Z11,1,Zero,1.8,COYE,1,0,0,,0
205,6/23/2015,12:29,M65,1,Med,1.66,NAWA,30,11,1,"2 settled, 1 partial ovisac",0
206,6/23/2015,12:29,L65,1,Low,1.93,MYWA,30,7,1,2 eggs,0
207,6/23/2015,12:47,H65,1,High,1.66,COYE,1,26,2,,0
208,6/23/2015,12:54,L66,1,Low,1.65,YEWA,1,8,1,1 settled,0
209,6/23/2015,13:12,H66,1,High,1.93,NAWA,15,28,2,,0
210,6/23/2015,13:14,L67,1,Low,1.67,MYWA,15,3,2,,0
211,6/23/2015,14:12,M66,1,Med,1.67,YEWA,5,12,2,1 settled,0
212,6/23/2015,14:14,L68,1,Low,1.08,COYE,5,8,2,,0
213,6/23/2015,14:34,H67,1,High,1.81,NAWA,30,26,5,,0
214,6/23/2015,14:46,H68,1,High,1.8,YEWA,5,23,2,,0
215,6/23/2015,15:01,M67,1,Med,1.92,MYWA,15,14,3,1 exuvia,0
216,6/23/2015,15:14,M68,1,Med,1.66,COYE,1,17,2,2 eggs,0
217,6/25/2015,14:26,L69,1,Low,1.5,NAWA,15,9,0,,0
218,6/25/2015,14:28,M69,1,Med,1.92,MYWA,15,15,1,,0
219,6/25/2015,14:58,M70,1,Med,1.89,YEWA,5,13,0,,0
220,6/25/2015,14:58,L70,1,Low,1.99,COYE,5,4,0,,0
221,6/25/2015,15:12,M71,1,Med,1.98,YEWA,1,11,1,,0
222,6/25/2015,15:14,H69,1,High,1.98,COYE,1,34,0,,0
223,6/26/2015,10:50,H71,1,High,2.1,MYWA,5,24,0,1 exuvia,0
224,6/26/2015,11:03,L72,1,Low,,COYE,1,1,0,,0
225,6/26/2015,11:18,M73,1,Med,1.93,MYWA,30,14,1,,0
226,6/26/2015,11:19,L73,1,Low,1.31,YEWA,30,3,0,1 adult,0
227,6/26/2015,12:09,L74,1,Low,1.08,COYE,1,1,2,"1 dead, remnants of hymenipteran",0
228,6/26/2015,12:10,M74,1,Med,1.89,NAWA,1,11,1,,0
229,6/26/2015,13:51,H73,1,High,1.9,MYWA,15,22,2,,0
230,6/26/2015,13:53,M75,1,Med,1.78,YEWA,15,12,0,,0
231,6/26/2015,14:02,M76,1,Med,1.52,COYE,5,12,0,,0
232,6/26/2015,14:19,H74,1,High,1.88,NAWA,5,34,1,,0
233,6/26/2015,14:31,H75,1,High,1.96,MYWA,30,48,1,1 exuvia,0
234,6/26/2015,14:35,L75,1,Low,1.66,COYE,5,4,0,,0
235,6/26/2015,14:40,L76,1,Low,1.27,YEWA,15,1,0,,0
236,6/26/2015,14:40,H76,1,High,1.94,COYE,1,22,0,,0
237,6/29/2015,10:32,H77,1,High,2.03,YEWA,15,70,1,,0
238,6/29/2015,10:33,L77,1,Low,1.82,MYWA,15,2,0,1 exuvia,0
239,6/29/2015,10:40,H78,1,High,1.86,COYE,5,64,0,,0
240,6/29/2015,11:00,L78,1,Low,1.69,NAWA,5,4,1,,0
241,6/29/2015,11:04,H79,1,High,1.79,YEWA,30,33,1,partial ovisac,0
242,6/29/2015,11:13,L79,1,Low,1.66,MYWA,30,4,0,,0
243,6/29/2015,11:24,H80,1,High,1.8,COYE,1,43,5,1 settled instar,0
244,6/29/2015,11:31,M77,1,Med,1.99,NAWA,1,13,2,,0
245,6/29/2015,13:14,M78,1,Med,1.83,YEWA,30,17,2,,0
246,6/29/2015,13:14,M79,1,Med,1.63,MYWA,5,19,1,,0
247,6/29/2015,13:32,M80,1,Med,1.72,COYE,15,11,2,,0
248,6/29/2015,13:34,L80,1,Low,1.49,NAWA,1,4,0,"1 partial ovisac, 1 long dead crawler",0
249,6/30/2015,14:01,H81,1,High,1.88,MYWA,30,28,0,2 exuviae,0
250,6/30/2015,14:02,L81,1,Low,1.75,YEWA,30,7,1,1 adult,0
251,6/30/2015,14:11,H82,1,High,1.78,COYE,1,21,0,,0
252,6/30/2015,14:20,M81,1,Med,2.17,COYE,1,17,1,,0
253,6/30/2015,14:21,M82,1,Med,1.89,NAWA,15,13,1,,0
254,6/30/2015,14:43,M83,1,Med,1.7,MYWA,15,11,1,,0
255,6/30/2015,14:48,H83,1,High,1.83,YEWA,5,23,1,1 egg,0
256,6/30/2015,14:52,L82,1,Low,1.57,COYE,5,5,0,,0
257,6/30/2015,15:20,M84,1,Med,1.68,YEWA,30,16,0,,0
258,6/30/2015,15:20,L83,1,Low,1.4,MYWA,15,1,3,,0
259,6/30/2015,15:43,M85,1,Med,1.64,COYE,5,11,0,,0
260,6/30/2015,15:46,H84,1,High,1.21,NAWA,15,54,1,,0
261,6/30/2015,15:55,L84,1,Low,1.38,YEWA,1,1,2,,0
262,7/1/2015,13:21,L85,1,Low,1.34,NAWA,15,8,1,1 instar,0
263,7/1/2015,13:21,H85,1,High,1.17,YEWA,15,21,0,2 instar,0
264,7/1/2015,13:26,L86,1,Low,1.8,YEWA,5,1,0,,0
265,7/1/2015,13:29,M86,1,Med,1.99,COYE,5,19,0,,0
266,7/1/2015,13:45,M87,1,Med,1.82,YEWA,30,14,1,,0
267,7/1/2015,13:47,H86,1,High,1.44,NAWA,30,35,0,,0
268,7/1/2015,13:54,L87,1,Low,1.74,COYE,1,2,2,"1 instar, 1 aphid",0
269,7/1/2015,14:03,H87,1,High,1.77,YEWA,1,43,1,,0
270,7/1/2015,14:26,L88,1,Low,1.82,YEWA,30,3,0,,0
271,7/1/2015,14:31,H88,1,High,1.74,YEWA,5,30,0,,0
272,7/1/2015,14:45,M88,1,Med,2.05,NAWA,15,18,0,,0
273,7/1/2015,14:53,M89,1,Med,1.52,COYE,1,17,2,"1 instar, 1 thrip",0
274,7/2/2015,15:54,Z12,1,Zero,1.02,YEWA,30,0,0,,0
275,7/2/2015,15:54,Z13,1,Zero,1.01,YEWA,15,0,0,,0
276,7/2/2015,15:54,Z14,1,Zero,1.47,NAWA,5,0,0,,0
277,7/2/2015,16:32,Z15,1,Zero,1.6,COYE,1,0,0,,0
278,7/8/2015,9:18,H89,1,High,1.85,YEWA,15,28,0,,0
279,7/8/2015,9:18,L89,1,Low,1.58,NAWA,15,5,0,,0
280,7/8/2015,9:22,L90,1,Low,1.58,NAWA,5,1,0,,0
281,7/8/2015,9:24,H90,1,High,1.64,COYE,5,38,0,,0
282,7/8/2015,9:40,L91,1,Low,1.69,NAWA,30,6,1,"1 mite, 1 settled instar",0
283,7/8/2015,9:41,M90,1,Med,1.99,YEWA,30,12,0,,0
284,7/8/2015,9:51,M91,1,Med,2.06,COYE,1,14,0,,0
285,7/8/2015,9:57,L92,1,Low,2.15,MYWA,1,9,0,,0
286,7/8/2015,10:31,H91,1,High,1.94,YEWA,30,24,0,,0
287,7/8/2015,10:34,M92,1,Med,1.86,NAWA,5,11,0,,0
288,7/8/2015,10:38,M93,1,Med,1.35,COYE,15,12,0,,0
289,7/8/2015,10:46,H92,1,High,1.89,NAWA,1,32,0,"2 spiders, 1 partial ovisac",0
290,7/8/2015,11:09,Z16,1,Zero,1.52,YEWA,30,0,0,,0
291,7/8/2015,11:09,L93,1,Low,1.08,NAWA,15,2,3,,0
292,7/8/2015,11:30,Z17,1,Zero,1.74,NAWA,15,0,0,,0
293,7/8/2015,11:30,Z18,1,Zero,1.75,COYE,5,0,0,,0
294,7/8/2015,11:31,Z19,1,Zero,1.33,MYWA,1,0,0,,0
295,7/9/2015,14:12,H93,1,High,1.4,YEWA,30,21,0,,0
296,7/9/2015,14:14,L94,1,Low,1.41,NAWA,30,9,0,,0
297,7/9/2015,14:20,M94,1,Med,1.74,COYE,1,11,2,,0
298,7/9/2015,14:29,L95,1,Low,1.81,COYE,1,6,2,,0
299,7/9/2015,14:51,H94,1,High,1.9,NAWA,15,52,0,,0
300,7/9/2015,14:52,L96,1,Low,1.6,YEWA,15,7,0,,0
301,7/9/2015,15:01,M95,1,Med,1.81,COYE,5,11,0,1 chigger (?),0
302,7/9/2015,15:19,L97,1,Low,1.59,COYE,5,4,3,,0
303,7/9/2015,15:20,M96,1,Med,1.54,YEWA,30,13,3,1 egg,0
304,7/9/2015,15:32,H90,2,High,1.79,COYE,5,47,0,1 adult + partial ovisac,0
305,7/9/2015,15:35,M97,1,Med,1.77,NAWA,15,15,0,"1 adult, 6 eggs",0
306,7/9/2015,15:41,H96,1,High,1.77,COYE,1,24,0,1 exuvia,0
307,7/13/2015,15:20,H97,1,High,2.13,NAWA,15,27,0,1 fly,0
308,7/13/2015,15:21,M98,1,Med,1.45,YEWA,15,11,4,1 fly,0
309,7/13/2015,15:47,L98,1,Low,3.27,COYE,5,2,0,,0
310,7/13/2015,15:47,M99,1,Med,3.51,YEWA,5,18,2,,0
311,7/13/2015,16:02,M100,1,Med,3.67,NAWA,30,12,1,1 dead,0
312,7/13/2015,16:03,H98,1,High,3.71,YEWA,30,48,2,,0
313,7/13/2015,16:09,L99,1,Low,3.39,COYE,1,8,1,,0
314,7/13/2015,16:16,H99,1,High,1.84,COYE,1,46,1,1 settled,0
315,7/13/2015,16:26,L100,1,Low,1.94,COYE,30,1,0,,0
316,7/13/2015,17:02,L101,1,Low,1.45,NAWA,15,4,0,,0
317,7/13/2015,17:17,H100,1,High,2.94,YEWA,5,35,0,,0
318,7/13/2015,17:31,M101,1,Med,1.66,YEWA,1,11,0,2 dead,0
319,7/14/2015,15:07,H101,1,High,1.86,YEWA,30,24,0,,0
320,7/14/2015,15:08,L102,1,Low,1.75,NAWA,30,3,0,,0
321,7/14/2015,15:13,L103,1,Low,1.65,COYE,1,5,1,1 dead,0
322,7/14/2015,15:18,M102,1,Med,1.78,COYE,1,16,0,,0
323,7/14/2015,15:21,M103,1,Med,1.7,COYE,15,12,0,,0
324,7/14/2015,15:24,L104,1,Low,1.7,MYWA,15,4,0,,0
325,7/14/2015,15:52,L105,1,Low,1.91,COYE,5,7,1,,0
326,7/14/2015,15:55,M104,1,Med,1.22,MYWA,5,17,0,,0
327,7/14/2015,16:06,M105,1,Med,1.55,YEWA,30,12,0,1 dead,0
328,7/14/2015,16:08,H102,1,High,1.81,NAWA,5,24,0,1 dead,0
329,7/14/2015,16:12,H103,1,High,1.77,COYE,15,23,0,,0
330,7/14/2015,16:18,H109,1,High,1.61,NAWA,1,22,0,,0
331,7/14/2015,16:22,Z20,1,Zero,1.68,NAWA,15,0,0,,0
332,7/14/2015,16:24,Z21,1,Zero,1.73,COYE,1,0,0,,0
333,7/14/2015,16:26,Z22,1,Zero,1.74,COYE,5,0,0,,0
334,7/20/2015,14:21,L106,1,Low,1.51,NAWA,15,3,0,1 dead,0
335,7/20/2015,14:23,H105,1,High,1.2,YEWA,15,22,0,,0
336,7/20/2015,14:34,H106,1,High,4.04,COYE,5,30,0,,0
337,7/20/2015,14:51,L107,1,Low,1.72,COYE,5,7,0,1 dead,0
338,7/20/2015,14:55,L108,1,Low,3.65,NAWA,30,8,0,,0
339,7/20/2015,15:04,M106,1,Med,3.74,YEWA,30,19,0,"1 dead, 1 exuvia",0
340,7/20/2015,15:08,M107,1,Med,1.13,COYE,1,15,0,,0
341,7/20/2015,15:15,L109,1,Low,1.08,COYE,1,1,0,1 dead,0
342,7/20/2015,15:24,H107,1,High,3.79,COYE,30,29,0,,0
